datetime;voltage;label;truth
2018-12-14 00:00:00;233.9;0;-1
2018-12-14 00:01:00;234.1;0;-1
2018-12-14 00:02:00;234.3;0;-1
2018-12-14 00:03:00;234.5;0;-1
2018-12-14 00:04:00;234.53333333333333;0;-1
2018-12-14 00:05:00;234.56666666666663;0;-1
2018-12-14 00:06:00;234.6;0;-1
2018-12-14 00:07:00;234.46666666666667;0;-1
2018-12-14 00:08:00;234.3333333333333;0;-1
2018-12-14 00:09:00;234.2;0;-1
2018-12-14 00:10:00;234.36666666666665;0;-1
2018-12-14 00:11:00;234.53333333333333;0;-1
2018-12-14 00:12:00;234.7;0;-1
2018-12-14 00:13:00;234.76666666666665;0;-1
2018-12-14 00:14:00;234.83333333333331;0;-1
2018-12-14 00:15:00;234.9;0;-1
2018-12-14 00:16:00;234.8;0;-1
2018-12-14 00:17:00;234.7;0;-1
2018-12-14 00:18:00;234.6;0;-1
2018-12-14 00:19:00;234.63333333333333;0;-1
2018-12-14 00:20:00;234.66666666666663;0;-1
2018-12-14 00:21:00;234.7;0;-1
2018-12-14 00:22:00;234.7333333333333;0;-1
2018-12-14 00:23:00;234.76666666666668;0;-1
2018-12-14 00:24:00;234.8;0;-1
2018-12-14 00:25:00;234.7;0;-1
2018-12-14 00:26:00;234.6;0;-1
2018-12-14 00:27:00;234.5;0;-1
2018-12-14 00:28:00;234.58333333333331;0;-1
2018-12-14 00:29:00;234.66666666666663;0;-1
2018-12-14 00:30:00;234.75;0;-1
2018-12-14 00:31:00;234.83333333333331;0;-1
2018-12-14 00:32:00;234.91666666666663;0;-1
2018-12-14 00:33:00;235.0;0;-1
2018-12-14 00:34:00;234.2;0;-1
2018-12-14 00:35:00;233.4;0;-1
2018-12-14 00:36:00;232.6;0;-1
2018-12-14 00:37:00;231.53333333333333;0;-1
2018-12-14 00:38:00;230.46666666666667;0;-1
2018-12-14 00:39:00;229.4;0;-1
2018-12-14 00:40:00;229.4333333333333;0;-1
2018-12-14 00:41:00;229.46666666666667;0;-1
2018-12-14 00:42:00;229.5;0;-1
2018-12-14 00:43:00;229.56666666666663;0;-1
2018-12-14 00:44:00;229.63333333333333;0;-1
2018-12-14 00:45:00;229.7;0;-1
2018-12-14 00:46:00;229.8;0;-1
2018-12-14 00:47:00;229.9;0;-1
2018-12-14 00:48:00;230.0;0;-1
2018-12-14 00:49:00;230.2333333333333;0;-1
2018-12-14 00:50:00;230.46666666666667;0;-1
2018-12-14 00:51:00;230.7;0;-1
2018-12-14 00:52:00;230.8;0;-1
2018-12-14 00:53:00;230.9;0;-1
2018-12-14 00:54:00;231.0;0;-1
2018-12-14 00:55:00;230.96666666666667;0;-1
2018-12-14 00:56:00;230.9333333333333;0;-1
2018-12-14 00:57:00;230.9;0;-1
2018-12-14 00:58:00;230.83333333333331;0;-1
2018-12-14 00:59:00;230.76666666666665;0;-1
2018-12-14 01:00:00;230.7;0;-1
2018-12-14 01:01:00;230.66666666666663;0;-1
2018-12-14 01:02:00;230.63333333333333;0;-1
2018-12-14 01:03:00;230.6;0;-1
2018-12-14 01:04:00;230.63333333333333;0;-1
2018-12-14 01:05:00;230.66666666666663;0;-1
2018-12-14 01:06:00;230.7;0;-1
2018-12-14 01:07:00;230.96666666666667;0;-1
2018-12-14 01:08:00;231.2333333333333;0;-1
2018-12-14 01:09:00;231.5;0;-1
2018-12-14 01:10:00;231.5857142857143;0;-1
2018-12-14 01:11:00;231.67142857142858;0;-1
2018-12-14 01:12:00;231.75714285714287;0;-1
2018-12-14 01:13:00;231.84285714285718;0;-1
2018-12-14 01:14:00;231.92857142857144;0;-1
2018-12-14 01:15:00;232.0142857142857;0;-1
2018-12-14 01:16:00;232.1;0;-1
2018-12-14 01:17:00;231.95;0;-1
2018-12-14 01:18:00;231.8;0;-1
2018-12-14 01:19:00;231.83333333333331;0;-1
2018-12-14 01:20:00;231.86666666666667;0;-1
2018-12-14 01:21:00;231.9;0;-1
2018-12-14 01:22:00;232.1;0;-1
2018-12-14 01:23:00;232.3;0;-1
2018-12-14 01:24:00;232.5;0;-1
2018-12-14 01:25:00;232.33333333333331;0;-1
2018-12-14 01:26:00;232.16666666666663;0;-1
2018-12-14 01:27:00;232.0;0;-1
2018-12-14 01:28:00;231.9;0;-1
2018-12-14 01:29:00;231.8;0;-1
2018-12-14 01:30:00;231.7;0;-1
2018-12-14 01:31:00;231.7333333333333;0;-1
2018-12-14 01:32:00;231.76666666666668;0;-1
2018-12-14 01:33:00;231.8;0;-1
2018-12-14 01:34:00;231.83333333333331;0;-1
2018-12-14 01:35:00;231.86666666666667;0;-1
2018-12-14 01:36:00;231.9;0;-1
2018-12-14 01:37:00;232.26666666666668;0;-1
2018-12-14 01:38:00;232.63333333333333;0;-1
2018-12-14 01:39:00;233.0;0;-1
2018-12-14 01:40:00;233.13333333333333;0;-1
2018-12-14 01:41:00;233.26666666666668;0;-1
2018-12-14 01:42:00;232.5662278149388;0;-1
2018-12-14 01:43:00;232.0530980647446;0;-1
2018-12-14 01:44:00;232.03505910951458;0;-1
2018-12-14 01:45:00;231.99555347900426;0;-1
2018-12-14 01:46:00;231.50520607011964;0;-1
2018-12-14 01:47:00;230.88346529437766;0;-1
2018-12-14 01:48:00;230.3589673932661;0;-1
2018-12-14 01:49:00;229.87263257525575;0;-1
2018-12-14 01:50:00;229.38396032650508;0;-1
2018-12-14 01:51:00;229.21530306405305;0;-1
2018-12-14 01:52:00;227.7685855875007;0;-1
2018-12-14 01:53:00;227.74693141044705;0;-1
2018-12-14 01:54:00;227.2737525123051;0;-1
2018-12-14 01:55:00;226.1718166404844;0;-1
2018-12-14 01:56:00;226.0122639306904;0;-1
2018-12-14 01:57:00;225.10528535796368;0;-1
2018-12-14 01:58:00;224.63868260041187;0;-1
